# -*- fill-column: 79 -*-
#
# This file contains named palettes that can be specified to "bleopt
# colorglass_base16_palette".  The first column is the name of the palette.
# The next 16 values ($2..$17) provides the codes of the basic 16 colors.  $18
# and $19 is the default foreground and background colors, and $20 is the
# cursor color, if available.

# https://github.com/akinomyoga/contra
Breadog                        0x362c24 0xb10b00 0x007232 0x8b4c00 0x005cb4 0x9b0097 0x006a78 0xbaa99d 0x514337 0xde1100 0x008f40 0xae6000 0x0074e1 0xc300bd 0x008697 0xeae1da 0x362c24 0xf1ebe6 0x362c24
Breeze                         0x31363b 0xed1515 0x11d116 0xf67400 0x1d99f3 0x9b59b6 0x1abc9c 0xeff0f1 0x7f8c8d 0xc0392b 0x1cdc9a 0xfdbc4b 0x3daee9 0x8e44ad 0x16a085 0xfcfcfc 0xeff0f1 0x31363b 0xeff0f1
BrightLights                   0x191919 0xff355b 0xb7e876 0xffc251 0x76d4ff 0xba76e7 0x6cbfb5 0xc2c8d7 0x4c4c4c 0xff355b 0xb7e876 0xffc251 0x76d5ff 0xba76e7 0x6cbfb5 0xc2c8d7 0xb3c9d7 0x191919 0xf34b00
Broadcast                      0x000000 0xda4939 0x519f50 0xffd24a 0x6d9cbe 0xd0d0ff 0x6e9cbe 0xffffff 0x585858 0xff7b6b 0x83d182 0xffff7c 0x9fcef0 0xffffff 0xa0cef0 0xffffff 0xe6e1dc 0x2b2b2b 0xffffff
Brogrammer                     0x1f1f1f 0xf81118 0x2dc55e 0xecba0f 0x2a84d2 0x4e5ab7 0x1081d6 0xd6dbe5 0xd6dbe5 0xde352e 0x1dd361 0xf3bd09 0x1081d6 0x5350b9 0x0f7ddb 0xffffff 0xd6dbe5 0x131313 0xb9b9b9
BuiltinDark                    0x000000 0xbb0000 0x00bb00 0xbbbb00 0x0d0dc8 0xbb00bb 0x00bbbb 0xbbbbbb 0x555555 0xff5555 0x55ff55 0xffff55 0x5555ff 0xff55ff 0x55ffff 0xffffff 0xbbbbbb 0x000000 0xbbbbbb
BuiltinLight                   0x000000 0xbb0000 0x00bb00 0xbbbb00 0x0000bb 0xbb00bb 0x00bbbb 0xbbbbbb 0x555555 0xff5555 0x2fd92f 0xbfbf15 0x5555ff 0xff55ff 0x22cccc 0xffffff 0x000000 0xffffff 0x000000
BuiltinPastelDark              0x4f4f4f 0xff6c60 0xa8ff60 0xffffb6 0x96cbfe 0xff73fd 0xc6c5fe 0xeeeeee 0x7c7c7c 0xffb6b0 0xceffac 0xffffcc 0xb5dcff 0xff9cfe 0xdfdffe 0xffffff 0xbbbbbb 0x000000 0xffa560
BuiltinTangoDark               0x000000 0xcc0000 0x4e9a06 0xc4a000 0x3465a4 0x75507b 0x06989a 0xd3d7cf 0x555753 0xef2929 0x8ae234 0xfce94f 0x729fcf 0xad7fa8 0x34e2e2 0xeeeeec 0xffffff 0x000000 0xffffff
BuiltinTangoLight              0x000000 0xcc0000 0x4e9a06 0xc4a000 0x3465a4 0x75507b 0x06989a 0xb9bdb5 0x555753 0xef2929 0x7dd527 0xd6c329 0x729fcf 0xad7fa8 0x27d5d5 0xeeeeec 0x000000 0xffffff 0x000000
C64                            0x090300 0xa2524c 0x55a049 0xbfce72 0x6657b3 0x984ca3 0x67b6bd 0xffffff 0x000000 0xa2524c 0x55a049 0xbfce72 0x6657b3 0x984ca3 0x67b6bd 0xf7f7f7 0x7869c4 0x40318d 0x7869c4
CGA                            0x000000 0xaa0000 0x00aa00 0xaa5500 0x0d0db7 0xaa00aa 0x00aaaa 0xaaaaaa 0x555555 0xff5555 0x55ff55 0xffff55 0x5555ff 0xff55ff 0x55ffff 0xffffff 0xaaaaaa 0x000000 0xb8b8b8
CLRS                           0x000000 0xf8282a 0x328a5d 0xfa701d 0x135cd0 0x9f00bd 0x33c3c1 0xb3b3b3 0x555753 0xfb0416 0x2cc631 0xe3bd0e 0x1670ff 0xe900b0 0x3ad5ce 0xeeeeec 0x262626 0xffffff 0x62c6ef
